Date,Time,Symbol,Action,Price,Quantity,Value,PnL,Exit_Reason
2025-08-01,11:20:00,CHALET,SELL,946.3,1056,999292.7999999999,,
2025-08-01,11:30:00,CHALET,BUY,951.0314999999998,1056,1004289.2639999999,-4996.463999999862,Stop Loss
2025-08-01,11:40:00,CHALET,SELL,936.25,1068,999915.0,,
2025-08-01,12:10:00,CHALET,BUY,940.9312499999999,1068,1004914.5749999998,-4999.574999999854,Stop Loss
2025-08-01,12:20:00,CHALET,SELL,933.0,1071,999243.0,,
2025-08-01,12:30:00,CHALET,BUY,937.6649999999998,1071,1004239.2149999999,-4996.214999999839,Stop Loss
2025-08-01,12:40:00,CHALET,SELL,933.0,1071,999243.0,,
2025-08-01,12:50:00,CHALET,BUY,937.6649999999998,1071,1004239.2149999999,-4996.214999999839,Stop Loss
2025-08-01,13:00:00,CHALET,SELL,937.0,1067,999779.0,,
2025-08-01,13:10:00,CHALET,BUY,941.685,1067,1004777.8949999999,-4998.894999999942,Stop Loss
2025-08-01,13:20:00,CHALET,SELL,937.0,1067,999779.0,,
2025-08-01,11:20:00,CHAMBLFERT,SELL,522.1,1867,974760.7000000001,,
2025-08-01,12:00:00,CHAMBLFERT,BUY,524.7104999999999,1867,979634.5034999999,-4873.803499999791,Stop Loss
2025-08-01,14:30:00,CHAMBLFERT,SELL,518.6,1880,974968.0,,
2025-08-01,11:20:00,EICHERMOT,SELL,5518.5,175,965737.5,,
2025-08-01,12:20:00,EICHERMOT,BUY,5546.0925,175,970566.1875,-4828.687499999955,Stop Loss
2025-08-01,13:10:00,EICHERMOT,BUY,5613.5,172,965522.0,,
2025-08-01,13:30:00,EICHERMOT,SELL,5585.4325,172,960694.39,-4827.610000000019,Stop Loss
2025-08-01,13:40:00,EICHERMOT,BUY,5600.5,173,968886.5,,
2025-08-01,14:00:00,EICHERMOT,SELL,5572.4975,173,964042.0675000001,-4844.432499999931,Stop Loss
2025-08-01,15:20:00,EICHERMOT,SELL,5512.5,175,964687.5,,
2025-08-01,11:20:00,HINDUNILVR,SELL,2556.1,373,953425.2999999999,,
2025-08-01,14:20:00,JSWENERGY,SELL,513.5,1861,955623.5,,
2025-08-01,13:40:00,M&M,BUY,3178.7,300,953610.0,,
2025-08-01,15:00:00,M&M,SELL,3162.8064999999997,300,948841.95,-4768.050000000039,Stop Loss
2025-08-01,11:20:00,NETWEB,BUY,2294.7,414,950005.7999999999,,
2025-08-01,11:30:00,NETWEB,SELL,2283.2264999999998,414,945255.771,-4750.029000000024,Stop Loss
2025-08-01,11:40:00,NETWEB,BUY,2259.8,420,949116.0000000001,,
2025-08-01,11:50:00,NETWEB,SELL,2248.501,420,944370.42,-4745.579999999991,Stop Loss
2025-08-01,14:50:00,NETWEB,SELL,2150.0,442,950300.0,,
2025-08-01,13:20:00,SUNPHARMA,SELL,1620.0,581,941220.0,,
2025-08-01,15:00:00,SUNPHARMA,BUY,1628.1,581,945926.1,-4706.099999999948,Stop Loss
2025-08-01,11:30:00,SUZLON,BUY,65.3,14344,936663.2,,
2025-08-01,14:10:00,SUZLON,SELL,66.0608,14344,947576.1152,10912.915200000047,Stop Loss
2025-08-01,14:20:00,SUZLON,BUY,66.09,14172,936627.4800000001,,
2025-08-01,11:20:00,SWIGGY,BUY,395.25,2397,947414.25,,
2025-08-01,14:00:00,SWIGGY,SELL,393.27375,2397,942677.17875,-4737.071249999984,Stop Loss
